Data;Semana;UF;Município;Tipo de Feriado
30/05/2022;segunda-feira;AC;MANCIO LIMA;Permanente
31/05/2022;terça-feira;AC;SENADOR GUIOMARD;Permanente
15/06/2022;quarta-feira;AC;ACRELANDIA;Permanente
15/06/2022;quarta-feira;AC;ASSIS BRASIL;Permanente
15/06/2022;quarta-feira;AC;BRASILEIA;Permanente
15/06/2022;quarta-feira;AC;BUJARI;Permanente
15/06/2022;quarta-feira;AC;CAPIXABA;Permanente
15/06/2022;quarta-feira;AC;CRUZEIRO DO SUL;Permanente
15/06/2022;quarta-feira;AC;EPITACIOLANDIA;Permanente
15/06/2022;quarta-feira;AC;FEIJO;Permanente
15/06/2022;quarta-feira;AC;MANCIO LIMA;Permanente
15/06/2022;quarta-feira;AC;MANOEL URBANO;Permanente
15/06/2022;quarta-feira;AC;MARECHAL THAUMATURGO;Permanente
15/06/2022;quarta-feira;AC;PLACIDO DE CASTRO;Permanente
15/06/2022;quarta-feira;AC;PORTO ACRE;Permanente
15/06/2022;quarta-feira;AC;RIO BRANCO;Permanente
15/06/2022;quarta-feira;AC;RODRIGUES ALVES;Permanente
15/06/2022;quarta-feira;AC;SENA MADUREIRA;Permanente
15/06/2022;quarta-feira;AC;SENADOR GUIOMARD;Permanente
15/06/2022;quarta-feira;AC;TARAUACA;Permanente
15/06/2022;quarta-feira;AC;XAPURI;Permanente
24/06/2022;sexta-feira;AC;BUJARI;Permanente
24/06/2022;sexta-feira;AC;XAPURI;Permanente
27/06/2022;segunda-feira;AC;FEIJO;Permanente
03/07/2022;domingo;AC;BRASILEIA;Permanente
28/07/2022;quinta-feira;AC;SENADOR GUIOMARD;Permanente
15/08/2022;segunda-feira;AC;ASSIS BRASIL;Permanente
15/08/2022;segunda-feira;AC;CRUZEIRO DO SUL;Permanente
15/08/2022;segunda-feira;AC;TARAUACA;Permanente
28/08/2022;domingo;AC;ACRELANDIA;Permanente
28/08/2022;domingo;AC;ASSIS BRASIL;Permanente
28/08/2022;domingo;AC;BRASILEIA;Permanente
28/08/2022;domingo;AC;BUJARI;Permanente
28/08/2022;domingo;AC;CAPIXABA;Permanente
28/08/2022;domingo;AC;CRUZEIRO DO SUL;Permanente
28/08/2022;domingo;AC;EPITACIOLANDIA;Permanente
28/08/2022;domingo;AC;FEIJO;Permanente
28/08/2022;domingo;AC;MANCIO LIMA;Permanente
28/08/2022;domingo;AC;MANOEL URBANO;Permanente
28/08/2022;domingo;AC;MARECHAL THAUMATURGO;Permanente
28/08/2022;domingo;AC;PLACIDO DE CASTRO;Permanente
28/08/2022;domingo;AC;PORTO ACRE;Permanente
28/08/2022;domingo;AC;RIO BRANCO;Permanente
28/08/2022;domingo;AC;RODRIGUES ALVES;Permanente
28/08/2022;domingo;AC;SENA MADUREIRA;Permanente
28/08/2022;domingo;AC;SENADOR GUIOMARD;Permanente
28/08/2022;domingo;AC;TARAUACA;Permanente
28/08/2022;domingo;AC;XAPURI;Permanente
05/09/2022;segunda-feira;AC;ACRELANDIA;Permanente
05/09/2022;segunda-feira;AC;ASSIS BRASIL;Permanente
05/09/2022;segunda-feira;AC;BRASILEIA;Permanente
05/09/2022;segunda-feira;AC;BUJARI;Permanente
05/09/2022;segunda-feira;AC;CAPIXABA;Permanente
05/09/2022;segunda-feira;AC;CRUZEIRO DO SUL;Permanente
05/09/2022;segunda-feira;AC;EPITACIOLANDIA;Permanente
05/09/2022;segunda-feira;AC;FEIJO;Permanente
05/09/2022;segunda-feira;AC;MANCIO LIMA;Permanente
05/09/2022;segunda-feira;AC;MANOEL URBANO;Permanente
05/09/2022;segunda-feira;AC;MARECHAL THAUMATURGO;Permanente
05/09/2022;segunda-feira;AC;PLACIDO DE CASTRO;Permanente
05/09/2022;segunda-feira;AC;PORTO ACRE;Permanente
05/09/2022;segunda-feira;AC;RIO BRANCO;Permanente
05/09/2022;segunda-feira;AC;RODRIGUES ALVES;Permanente
05/09/2022;segunda-feira;AC;SENA MADUREIRA;Permanente
05/09/2022;segunda-feira;AC;SENADOR GUIOMARD;Permanente
05/09/2022;segunda-feira;AC;TARAUACA;Permanente
05/09/2022;segunda-feira;AC;XAPURI;Permanente
08/09/2022;quinta-feira;AC;MANOEL URBANO;Permanente
15/09/2022;quinta-feira;AC;BRASILEIA;Permanente
25/09/2022;domingo;AC;SENA MADUREIRA;Permanente
27/09/2022;terça-feira;AC;CRUZEIRO DO SUL;Permanente
04/10/2022;terça-feira;AC;MANCIO LIMA;Permanente
04/10/2022;terça-feira;AC;TARAUACA;Permanente
17/11/2022;quinta-feira;AC;ACRELANDIA;Permanente
17/11/2022;quinta-feira;AC;ASSIS BRASIL;Permanente
17/11/2022;quinta-feira;AC;BRASILEIA;Permanente
17/11/2022;quinta-feira;AC;BUJARI;Permanente
17/11/2022;quinta-feira;AC;CAPIXABA;Permanente
17/11/2022;quinta-feira;AC;CRUZEIRO DO SUL;Permanente
17/11/2022;quinta-feira;AC;EPITACIOLANDIA;Permanente
17/11/2022;quinta-feira;AC;FEIJO;Permanente
17/11/2022;quinta-feira;AC;MANOEL URBANO;Permanente
17/11/2022;quinta-feira;AC;MARECHAL THAUMATURGO;Permanente
17/11/2022;quinta-feira;AC;PLACIDO DE CASTRO;Permanente
17/11/2022;quinta-feira;AC;PORTO ACRE;Permanente
17/11/2022;quinta-feira;AC;RIO BRANCO;Permanente
17/11/2022;quinta-feira;AC;RODRIGUES ALVES;Permanente
17/11/2022;quinta-feira;AC;SENA MADUREIRA;Permanente
17/11/2022;quinta-feira;AC;SENADOR GUIOMARD;Permanente
17/11/2022;quinta-feira;AC;TARAUACA;Permanente
17/11/2022;quinta-feira;AC;XAPURI;Permanente
08/12/2022;quinta-feira;AC;TARAUACA;Permanente
28/12/2022;quarta-feira;AC;RIO BRANCO;Permanente
20/01/2023;sexta-feira;AC;ACRELANDIA;Permanente
20/01/2023;sexta-feira;AC;BRASILEIA;Permanente
20/01/2023;sexta-feira;AC;CAPIXABA;Permanente
20/01/2023;sexta-feira;AC;CRUZEIRO DO SUL;Permanente
20/01/2023;sexta-feira;AC;EPITACIOLANDIA;Permanente
20/01/2023;sexta-feira;AC;FEIJO;Permanente
20/01/2023;sexta-feira;AC;MANCIO LIMA;Permanente
20/01/2023;sexta-feira;AC;MANOEL URBANO;Permanente
20/01/2023;sexta-feira;AC;MARECHAL THAUMATURGO;Permanente
20/01/2023;sexta-feira;AC;PLACIDO DE CASTRO;Permanente
20/01/2023;sexta-feira;AC;PORTO ACRE;Permanente
20/01/2023;sexta-feira;AC;RODRIGUES ALVES;Permanente
20/01/2023;sexta-feira;AC;SENA MADUREIRA;Permanente
20/01/2023;sexta-feira;AC;SENADOR GUIOMARD;Permanente
20/01/2023;sexta-feira;AC;TARAUACA;Permanente
20/01/2023;sexta-feira;AC;XAPURI;Permanente
23/01/2023;segunda-feira;AC;ASSIS BRASIL;Permanente
23/01/2023;segunda-feira;AC;BRASILEIA;Permanente
23/01/2023;segunda-feira;AC;BUJARI;Permanente
23/01/2023;segunda-feira;AC;CRUZEIRO DO SUL;Permanente
23/01/2023;segunda-feira;AC;FEIJO;Permanente
23/01/2023;segunda-feira;AC;MANCIO LIMA;Permanente
23/01/2023;segunda-feira;AC;MANOEL URBANO;Permanente
23/01/2023;segunda-feira;AC;RIO BRANCO;Permanente
23/01/2023;segunda-feira;AC;SENA MADUREIRA;Permanente
23/01/2023;segunda-feira;AC;SENADOR GUIOMARD;Permanente
23/01/2023;segunda-feira;AC;TARAUACA;Permanente
23/01/2023;segunda-feira;AC;XAPURI;Permanente
08/03/2023;quarta-feira;AC;ACRELANDIA;Permanente
08/03/2023;quarta-feira;AC;ASSIS BRASIL;Permanente
08/03/2023;quarta-feira;AC;BRASILEIA;Permanente
08/03/2023;quarta-feira;AC;BUJARI;Permanente
08/03/2023;quarta-feira;AC;CAPIXABA;Permanente
08/03/2023;quarta-feira;AC;CRUZEIRO DO SUL;Permanente
08/03/2023;quarta-feira;AC;EPITACIOLANDIA;Permanente
08/03/2023;quarta-feira;AC;FEIJO;Permanente
08/03/2023;quarta-feira;AC;MANCIO LIMA;Permanente
08/03/2023;quarta-feira;AC;MANOEL URBANO;Permanente
08/03/2023;quarta-feira;AC;MARECHAL THAUMATURGO;Permanente
08/03/2023;quarta-feira;AC;PLACIDO DE CASTRO;Permanente
08/03/2023;quarta-feira;AC;PORTO ACRE;Permanente
08/03/2023;quarta-feira;AC;RIO BRANCO;Permanente
08/03/2023;quarta-feira;AC;RODRIGUES ALVES;Permanente
08/03/2023;quarta-feira;AC;SENA MADUREIRA;Permanente
08/03/2023;quarta-feira;AC;SENADOR GUIOMARD;Permanente
08/03/2023;quarta-feira;AC;XAPURI;Permanente
22/03/2023;quarta-feira;AC;XAPURI;Permanente
30/03/2023;quinta-feira;AC;PLACIDO DE CASTRO;Permanente
08/04/2023;sábado;AC;SENA MADUREIRA;Permanente
28/04/2023;sexta-feira;AC;ACRELANDIA;Permanente
28/04/2023;sexta-feira;AC;BUJARI;Permanente
22/05/2022;domingo;AL;BOCA DA MATA;Permanente
24/05/2022;terça-feira;AL;MATRIZ DE CAMARAGIBE;Permanente
31/05/2022;terça-feira;AL;CAMPO GRANDE;Permanente
31/05/2022;terça-feira;AL;LIMOEIRO DE ANADIA;Permanente
31/05/2022;terça-feira;AL;PIACABUCU;Permanente
31/05/2022;terça-feira;AL;SAO SEBASTIAO;Permanente
01/06/2022;quarta-feira;AL;CAMPO GRANDE;Permanente
01/06/2022;quarta-feira;AL;MAJOR ISIDORO;Permanente
03/06/2022;sexta-feira;AL;PIRANHAS;Permanente
08/06/2022;quarta-feira;AL;CAMPO ALEGRE;Permanente
13/06/2022;segunda-feira;AL;MAJOR ISIDORO;Permanente
13/06/2022;segunda-feira;AL;MARAGOGI;Permanente
13/06/2022;segunda-feira;AL;OLHO D`AGUA DAS FLORES;Permanente
13/06/2022;segunda-feira;AL;OURO BRANCO;Permanente
14/06/2022;terça-feira;AL;PASSO DE CAMARAGIBE;Permanente
21/06/2022;terça-feira;AL;OURO BRANCO;Permanente
24/06/2022;sexta-feira;AL;ATALAIA;Permanente
24/06/2022;sexta-feira;AL;CACIMBINHAS;Permanente
24/06/2022;sexta-feira;AL;CAMPO GRANDE;Permanente
24/06/2022;sexta-feira;AL;DELMIRO GOUVEIA;Permanente
24/06/2022;sexta-feira;AL;DOIS RIACHOS;Permanente
24/06/2022;sexta-feira;AL;ESTRELA DE ALAGOAS;Permanente
24/06/2022;sexta-feira;AL;GIRAU DO PONCIANO;Permanente
24/06/2022;sexta-feira;AL;IGREJA NOVA;Permanente
24/06/2022;sexta-feira;AL;JUNQUEIRO;Eventual
24/06/2022;sexta-feira;AL;LIMOEIRO DE ANADIA;Permanente
24/06/2022;sexta-feira;AL;MAJOR ISIDORO;Permanente
24/06/2022;sexta-feira;AL;MARAVILHA;Permanente
24/06/2022;sexta-feira;AL;PAO DE ACUCAR;Eventual
24/06/2022;sexta-feira;AL;PIACABUCU;Permanente
24/06/2022;sexta-feira;AL;SANTANA DO IPANEMA;Permanente
24/06/2022;sexta-feira;AL;SAO MIGUEL DOS CAMPOS;Permanente
24/06/2022;sexta-feira;AL;SAO SEBASTIAO;Permanente
29/06/2022;quarta-feira;AL;BARRA DE SAO MIGUEL;Permanente
29/06/2022;quarta-feira;AL;CACIMBINHAS;Permanente
29/06/2022;quarta-feira;AL;CAMPO GRANDE;Permanente
29/06/2022;quarta-feira;AL;COITE DO NOIA;Permanente
29/06/2022;quarta-feira;AL;FEIRA GRANDE;Permanente
29/06/2022;quarta-feira;AL;JUNQUEIRO;Permanente
29/06/2022;quarta-feira;AL;LIMOEIRO DE ANADIA;Permanente
29/06/2022;quarta-feira;AL;MAJOR ISIDORO;Permanente
29/06/2022;quarta-feira;AL;MARAVILHA;Permanente
29/06/2022;quarta-feira;AL;OURO BRANCO;Permanente
29/06/2022;quarta-feira;AL;PIACABUCU;Permanente
29/06/2022;quarta-feira;AL;POCO DAS TRINCHEIRAS;Permanente
29/06/2022;quarta-feira;AL;QUEBRANGULO;Permanente
29/06/2022;quarta-feira;AL;SAO SEBASTIAO;Permanente
07/07/2022;quinta-feira;AL;PILAR;Permanente
07/07/2022;quinta-feira;AL;PORTO REAL DO COLEGIO;Permanente
08/07/2022;sexta-feira;AL;DOIS RIACHOS;Permanente
09/07/2022;sábado;AL;JUNQUEIRO;Permanente
13/07/2022;quarta-feira;AL;RIO LARGO;Permanente
15/07/2022;sexta-feira;AL;GIRAU DO PONCIANO;Permanente
16/07/2022;sábado;AL;COLONIA LEOPOLDINA;Permanente
16/07/2022;sábado;AL;OLIVENCA;Permanente
18/07/2022;segunda-feira;AL;ANADIA;Permanente
20/07/2022;quarta-feira;AL;ANADIA;Permanente
20/07/2022;quarta-feira;AL;ATALAIA;Permanente
20/07/2022;quarta-feira;AL;BOCA DA MATA;Permanente
20/07/2022;quarta-feira;AL;DOIS RIACHOS;Permanente
20/07/2022;quarta-feira;AL;LAGOA DA CANOA;Permanente
20/07/2022;quarta-feira;AL;POCO DAS TRINCHEIRAS;Permanente
22/07/2022;sexta-feira;AL;PORTO CALVO;Permanente
22/07/2022;sexta-feira;AL;UNIAO DOS PALMARES;Permanente
26/07/2022;terça-feira;AL;BARRA DE SAO MIGUEL;Permanente
26/07/2022;terça-feira;AL;SANTANA DO IPANEMA;Permanente
28/07/2022;quinta-feira;AL;SAO JOSE DA LAJE;Permanente
02/08/2022;terça-feira;AL;BARRA DE SAO MIGUEL;Permanente
05/08/2022;sexta-feira;AL;MARECHAL DEODORO;Permanente
14/08/2022;domingo;AL;LAGOA DA CANOA;Permanente
16/08/2022;terça-feira;AL;PORTO REAL DO COLEGIO;Permanente
20/08/2022;sábado;AL;PALMEIRA DOS INDIOS;Permanente
22/08/2022;segunda-feira;AL;CANAPI;Permanente
22/08/2022;segunda-feira;AL;INHAPI;Permanente
22/08/2022;segunda-feira;AL;OURO BRANCO;Permanente
24/08/2022;quarta-feira;AL;MARIBONDO;Permanente
24/08/2022;quarta-feira;AL;TAQUARANA;Permanente
25/08/2022;quinta-feira;AL;JOAQUIM GOMES;Permanente
27/08/2022;sábado;AL;MACEIO;Permanente
28/08/2022;domingo;AL;LAGOA DA CANOA;Permanente
08/09/2022;quinta-feira;AL;BATALHA;Permanente
08/09/2022;quinta-feira;AL;CACIMBINHAS;Permanente
08/09/2022;quinta-feira;AL;SAO SEBASTIAO;Permanente
12/09/2022;segunda-feira;AL;OURO BRANCO;Permanente
15/09/2022;quinta-feira;AL;SAO JOSE DA TAPERA;Permanente
16/09/2022;sexta-feira;AL;AGUA BRANCA;Permanente
16/09/2022;sexta-feira;AL;ANADIA;Permanente
16/09/2022;sexta-feira;AL;ARAPIRACA;Permanente
16/09/2022;sexta-feira;AL;ATALAIA;Permanente
16/09/2022;sexta-feira;AL;BARRA DE SAO MIGUEL;Permanente
16/09/2022;sexta-feira;AL;BATALHA;Permanente
16/09/2022;sexta-feira;AL;BOCA DA MATA;Permanente
16/09/2022;sexta-feira;AL;CACIMBINHAS;Permanente
16/09/2022;sexta-feira;AL;CAJUEIRO;Permanente
16/09/2022;sexta-feira;AL;CAMPO ALEGRE;Permanente
16/09/2022;sexta-feira;AL;CAMPO GRANDE;Permanente
16/09/2022;sexta-feira;AL;CANAPI;Permanente
16/09/2022;sexta-feira;AL;CAPELA;Permanente
16/09/2022;sexta-feira;AL;COITE DO NOIA;Permanente
16/09/2022;sexta-feira;AL;COLONIA LEOPOLDINA;Permanente
16/09/2022;sexta-feira;AL;COQUEIRO SECO;Permanente
16/09/2022;sexta-feira;AL;CORURIPE;Permanente
16/09/2022;sexta-feira;AL;CRAIBAS;Permanente
16/09/2022;sexta-feira;AL;DELMIRO GOUVEIA;Permanente
16/09/2022;sexta-feira;AL;DOIS RIACHOS;Permanente
16/09/2022;sexta-feira;AL;ESTRELA DE ALAGOAS;Permanente
16/09/2022;sexta-feira;AL;FEIRA GRANDE;Permanente
16/09/2022;sexta-feira;AL;GIRAU DO PONCIANO;Permanente
16/09/2022;sexta-feira;AL;IBATEGUARA;Permanente
16/09/2022;sexta-feira;AL;IGACI;Permanente
16/09/2022;sexta-feira;AL;IGREJA NOVA;Permanente
16/09/2022;sexta-feira;AL;INHAPI;Permanente
16/09/2022;sexta-feira;AL;JOAQUIM GOMES;Permanente
16/09/2022;sexta-feira;AL;JUNQUEIRO;Permanente
16/09/2022;sexta-feira;AL;LAGOA DA CANOA;Permanente
16/09/2022;sexta-feira;AL;LIMOEIRO DE ANADIA;Permanente
16/09/2022;sexta-feira;AL;MACEIO;Permanente
16/09/2022;sexta-feira;AL;MAJOR ISIDORO;Permanente
16/09/2022;sexta-feira;AL;MARAGOGI;Permanente
16/09/2022;sexta-feira;AL;MARAVILHA;Permanente
16/09/2022;sexta-feira;AL;MARECHAL DEODORO;Permanente
16/09/2022;sexta-feira;AL;MARIBONDO;Permanente
16/09/2022;sexta-feira;AL;MATA GRANDE;Permanente
16/09/2022;sexta-feira;AL;MATRIZ DE CAMARAGIBE;Permanente
16/09/2022;sexta-feira;AL;MESSIAS;Permanente
16/09/2022;sexta-feira;AL;MURICI;Permanente
16/09/2022;sexta-feira;AL;NOVO LINO;Permanente
16/09/2022;sexta-feira;AL;OLHO D`AGUA DAS FLORES;Permanente
16/09/2022;sexta-feira;AL;OLIVENCA;Permanente
16/09/2022;sexta-feira;AL;PALMEIRA DOS INDIOS;Permanente
16/09/2022;sexta-feira;AL;PAO DE ACUCAR;Permanente
16/09/2022;sexta-feira;AL;PARICONHA;Permanente
16/09/2022;sexta-feira;AL;PASSO DE CAMARAGIBE;Permanente
16/09/2022;sexta-feira;AL;PAULO JACINTO;Permanente
16/09/2022;sexta-feira;AL;PENEDO;Permanente
16/09/2022;sexta-feira;AL;PIACABUCU;Permanente
16/09/2022;sexta-feira;AL;PILAR;Permanente
16/09/2022;sexta-feira;AL;PIRANHAS;Permanente
16/09/2022;sexta-feira;AL;POCO DAS TRINCHEIRAS;Permanente
16/09/2022;sexta-feira;AL;PORTO CALVO;Permanente
16/09/2022;sexta-feira;AL;PORTO REAL DO COLEGIO;Permanente
16/09/2022;sexta-feira;AL;QUEBRANGULO;Permanente
16/09/2022;sexta-feira;AL;RIO LARGO;Permanente
16/09/2022;sexta-feira;AL;SANTANA DO IPANEMA;Permanente
16/09/2022;sexta-feira;AL;SAO JOSE DA LAJE;Permanente
16/09/2022;sexta-feira;AL;SAO JOSE DA TAPERA;Permanente
16/09/2022;sexta-feira;AL;SAO LUIS DO QUITUNDE;Permanente
16/09/2022;sexta-feira;AL;SAO MIGUEL DOS CAMPOS;Permanente
16/09/2022;sexta-feira;AL;SAO MIGUEL DOS MILAGRES;Permanente
16/09/2022;sexta-feira;AL;SAO SEBASTIAO;Permanente
16/09/2022;sexta-feira;AL;SATUBA;Permanente
16/09/2022;sexta-feira;AL;TAQUARANA;Permanente
16/09/2022;sexta-feira;AL;TEOTONIO VILELA;Permanente
16/09/2022;sexta-feira;AL;TRAIPU;Permanente
16/09/2022;sexta-feira;AL;UNIAO DOS PALMARES;Permanente
16/09/2022;sexta-feira;AL;VICOSA;Permanente
19/09/2022;segunda-feira;AL;CACIMBINHAS;Permanente
21/09/2022;quarta-feira;AL;COITE DO NOIA;Permanente
27/09/2022;terça-feira;AL;QUEBRANGULO;Permanente
29/09/2022;quinta-feira;AL;SAO MIGUEL DOS CAMPOS;Permanente
04/10/2022;terça-feira;AL;IGACI;Permanente
04/10/2022;terça-feira;AL;PIRANHAS;Permanente
05/10/2022;quarta-feira;AL;ESTRELA DE ALAGOAS;Permanente
07/10/2022;sexta-feira;AL;DELMIRO GOUVEIA;Permanente
07/10/2022;sexta-feira;AL;INHAPI;Permanente
07/10/2022;sexta-feira;AL;PENEDO;Permanente
10/10/2022;segunda-feira;AL;DELMIRO GOUVEIA;Permanente
10/10/2022;segunda-feira;AL;PIACABUCU;Permanente
13/10/2022;quinta-feira;AL;UNIAO DOS PALMARES;Permanente
13/10/2022;quinta-feira;AL;VICOSA;Permanente
27/10/2022;quinta-feira;AL;QUEBRANGULO;Permanente
28/10/2022;sexta-feira;AL;JUNQUEIRO;Permanente
28/10/2022;sexta-feira;AL;OURO BRANCO;Permanente
30/10/2022;domingo;AL;ARAPIRACA;Permanente
11/11/2022;sexta-feira;AL;BOCA DA MATA;Permanente
12/11/2022;sábado;AL;MARAVILHA;Permanente
20/11/2022;domingo;AL;GIRAU DO PONCIANO;Permanente
20/11/2022;domingo;AL;MACEIO;Permanente
20/11/2022;domingo;AL;OURO BRANCO;Permanente
20/11/2022;domingo;AL;PAULO JACINTO;Permanente
20/11/2022;domingo;AL;UNIAO DOS PALMARES;Permanente
21/11/2022;segunda-feira;AL;PORTO CALVO;Permanente
30/11/2022;quarta-feira;AL;ATALAIA;Permanente
30/11/2022;quarta-feira;AL;TEOTONIO VILELA;Permanente
01/12/2022;quinta-feira;AL;NOVO LINO;Permanente
02/12/2022;sexta-feira;AL;OLHO D`AGUA DAS FLORES;Permanente
02/12/2022;sexta-feira;AL;PAULO JACINTO;Permanente
07/12/2022;quarta-feira;AL;MARAVILHA;Permanente
08/12/2022;quinta-feira;AL;AGUA BRANCA;Permanente
08/12/2022;quinta-feira;AL;ATALAIA;Permanente
08/12/2022;quinta-feira;AL;CAPELA;Permanente
08/12/2022;quinta-feira;AL;CORURIPE;Permanente
08/12/2022;quinta-feira;AL;CRAIBAS;Permanente
08/12/2022;quinta-feira;AL;FEIRA GRANDE;Permanente
08/12/2022;quinta-feira;AL;GIRAU DO PONCIANO;Permanente
08/12/2022;quinta-feira;AL;IGREJA NOVA;Permanente
08/12/2022;quinta-feira;AL;LAGOA DA CANOA;Permanente
08/12/2022;quinta-feira;AL;LIMOEIRO DE ANADIA;Permanente
08/12/2022;quinta-feira;AL;MACEIO;Permanente
08/12/2022;quinta-feira;AL;MARECHAL DEODORO;Permanente
08/12/2022;quinta-feira;AL;OURO BRANCO;Permanente
08/12/2022;quinta-feira;AL;PALMEIRA DOS INDIOS;Permanente
08/12/2022;quinta-feira;AL;PAO DE ACUCAR;Permanente
08/12/2022;quinta-feira;AL;PENEDO;Permanente
08/12/2022;quinta-feira;AL;PILAR;Permanente
08/12/2022;quinta-feira;AL;POCO DAS TRINCHEIRAS;Permanente
08/12/2022;quinta-feira;AL;PORTO REAL DO COLEGIO;Permanente
08/12/2022;quinta-feira;AL;RIO LARGO;Permanente
08/12/2022;quinta-feira;AL;SANTANA DO IPANEMA;Permanente
08/12/2022;quinta-feira;AL;UNIAO DOS PALMARES;Permanente
12/12/2022;segunda-feira;AL;TEOTONIO VILELA;Permanente
13/12/2022;terça-feira;AL;ANADIA;Permanente
13/12/2022;terça-feira;AL;CAMPO GRANDE;Permanente
13/12/2022;terça-feira;AL;MATRIZ DE CAMARAGIBE;Permanente
18/12/2022;domingo;AL;SAO MIGUEL DOS CAMPOS;Permanente
18/12/2022;domingo;AL;TRAIPU;Permanente
22/12/2022;quinta-feira;AL;BATALHA;Permanente
24/12/2022;sábado;AL;SAO JOSE DA TAPERA;Permanente
02/01/2023;segunda-feira;AL;MARAVILHA;Permanente
06/01/2023;sexta-feira;AL;MARECHAL DEODORO;Permanente
06/01/2023;sexta-feira;AL;SAO JOSE DA LAJE;Permanente
15/01/2023;domingo;AL;MARIBONDO;Permanente
20/01/2023;sexta-feira;AL;DOIS RIACHOS;Permanente
20/01/2023;sexta-feira;AL;JOAQUIM GOMES;Permanente
20/01/2023;sexta-feira;AL;PASSO DE CAMARAGIBE;Permanente
20/01/2023;sexta-feira;AL;POCO DAS TRINCHEIRAS;Permanente
20/01/2023;sexta-feira;AL;PORTO CALVO;Permanente
20/01/2023;sexta-feira;AL;SAO SEBASTIAO;Permanente
02/02/2023;quinta-feira;AL;ANADIA;Permanente
02/02/2023;quinta-feira;AL;ARAPIRACA;Permanente
02/02/2023;quinta-feira;AL;ATALAIA;Permanente
02/02/2023;quinta-feira;AL;OLIVENCA;Permanente
02/02/2023;quinta-feira;AL;PAULO JACINTO;Permanente
02/02/2023;quinta-feira;AL;PILAR;Permanente
02/02/2023;quinta-feira;AL;PIRANHAS;Permanente
02/02/2023;quinta-feira;AL;SAO LUIS DO QUITUNDE;Permanente
02/02/2023;quinta-feira;AL;VICOSA;Permanente
14/02/2023;terça-feira;AL;DELMIRO GOUVEIA;Permanente
03/03/2023;sexta-feira;AL;PAO DE ACUCAR;Permanente
16/03/2023;quinta-feira;AL;PILAR;Permanente
16/03/2023;quinta-feira;AL;QUEBRANGULO;Permanente
18/03/2023;sábado;AL;MATA GRANDE;Permanente
19/03/2023;domingo;AL;CANAPI;Permanente
19/03/2023;domingo;AL;MARECHAL DEODORO;Permanente
19/03/2023;domingo;AL;NOVO LINO;Permanente
19/03/2023;domingo;AL;SAO JOSE DA LAJE;Permanente
19/03/2023;domingo;AL;SAO JOSE DA TAPERA;Permanente
22/03/2023;quarta-feira;AL;PIRANHAS;Permanente
07/04/2023;sexta-feira;AL;PARICONHA;Permanente
12/04/2023;quarta-feira;AL;PENEDO;Permanente
12/04/2023;quarta-feira;AL;PORTO CALVO;Permanente
23/04/2023;domingo;AL;CRAIBAS;Permanente
24/04/2023;segunda-feira;AL;AGUA BRANCA;Permanente
24/04/2023;segunda-feira;AL;MARAGOGI;Permanente
24/04/2023;segunda-feira;AL;MATRIZ DE CAMARAGIBE;Permanente
24/04/2023;segunda-feira;AL;SANTANA DO IPANEMA;Permanente
25/04/2023;terça-feira;AL;FEIRA GRANDE;Permanente
22/05/2022;domingo;AM;TAPAUA;Permanente
27/05/2022;sexta-feira;AM;BARCELOS;Eventual
31/05/2022;terça-feira;AM;CODAJAS;Permanente
31/05/2022;terça-feira;AM;SAO PAULO DE OLIVENCA;Permanente
01/06/2022;quarta-feira;AM;BORBA;Permanente
09/06/2022;quinta-feira;AM;BARREIRINHA;Permanente
13/06/2022;segunda-feira;AM;BORBA;Permanente
13/06/2022;segunda-feira;AM;NHAMUNDA;Permanente
13/06/2022;segunda-feira;AM;SANTO ANTONIO DO ICA;Permanente
15/06/2022;quarta-feira;AM;TEFE;Permanente
23/06/2022;quinta-feira;AM;CANUTAMA;Eventual
24/06/2022;sexta-feira;AM;BERURI;Permanente
24/06/2022;sexta-feira;AM;CANUTAMA;Permanente
24/06/2022;sexta-feira;AM;IPIXUNA;Permanente
24/06/2022;sexta-feira;AM;IRANDUBA;Permanente
25/06/2022;sábado;AM;MAUES;Permanente
27/06/2022;segunda-feira;AM;ENVIRA;Permanente
27/06/2022;segunda-feira;AM;PRESIDENTE FIGUEIREDO;Permanente
29/06/2022;quarta-feira;AM;BOCA DO ACRE;Permanente
29/06/2022;quarta-feira;AM;CANUTAMA;Permanente
29/06/2022;quarta-feira;AM;ITACOATIARA;Permanente
29/06/2022;quarta-feira;AM;RIO PRETO DA EVA;Permanente
29/06/2022;quarta-feira;AM;SAO PAULO DE OLIVENCA;Permanente
16/07/2022;sábado;AM;MANACAPURU;Permanente
16/07/2022;sábado;AM;PARINTINS;Permanente
20/07/2022;quarta-feira;AM;NOVO AIRAO;Permanente
26/07/2022;terça-feira;AM;COARI;Permanente
26/07/2022;terça-feira;AM;URUCARA;Permanente
02/08/2022;terça-feira;AM;COARI;Permanente
07/08/2022;domingo;AM;BARCELOS;Permanente
15/08/2022;segunda-feira;AM;BARREIRINHA;Permanente
15/08/2022;segunda-feira;AM;MANICORE;Permanente
16/08/2022;terça-feira;AM;AUTAZES;Permanente
19/08/2022;sexta-feira;AM;CAREIRO;Eventual
26/08/2022;sexta-feira;AM;LABREA;Eventual
02/09/2022;sexta-feira;AM;PRESIDENTE FIGUEIREDO;Permanente
03/09/2022;sábado;AM;SAO GABRIEL DA CACHOEIRA;Permanente
